Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт,Опорный кадр,Текущая секунда
1233,1712879429.946681,1920,1080,60,h264,3020252.4121570145,False,1219.998779296875
1234,1712879429.9672582,1920,1080,60,h264,3019644.0805511484,True,1221.233410835266
1235,1712879429.9709282,1920,1080,60,h264,3021544.326691076,False,1221.4536094665527
1236,1712879429.980455,1920,1080,60,h264,3022574.4673484205,True,1222.0252132415771
1237,1712879429.9905422,1920,1080,60,h264,3023520.473430793,False,1222.6304483413696
1238,1712879430.017756,1920,1080,60,h264,3021926.937891253,True,1224.263277053833
1239,1712879430.026464,1920,1080,60,h264,3023075.781737758,False,1224.7857570648193
1240,1712879430.04993,1920,1080,60,h264,3022039.725405834,True,1226.1937236785889
1241,1712879430.105031,1920,1080,60,h264,3016342.249185105,False,1229.4997787475586
1242,1712879430.107548,1920,1080,60,h264,3018400.1169339074,True,1229.650797843933
1243,1712879430.110007,1920,1080,60,h264,3020466.0168848555,False,1229.7983407974243
1244,1712879430.12006,1920,1080,60,h264,3021412.142114722,True,1230.4015159606934
1245,1712879430.129388,1920,1080,60,h264,3022464.114380116,False,1230.9612035751343
1246,1712879430.138995,1920,1080,60,h264,3023474.075065434,True,1231.5376138687134
1247,1712879430.1680262,1920,1080,60,h264,3021624.912109062,False,1233.2794904708862
1248,1712879430.178198,1920,1080,60,h264,3022550.315476406,True,1233.8898038864136
1249,1712879430.196648,1920,1080,60,h264,3022258.865403613,False,1234.9967908859253
1250,1712879430.215908,1920,1080,60,h264,3021849.0706060347,True,1236.152400970459
1251,1712879430.231733,1920,1080,60,h264,3021943.4300843095,False,1237.101902961731
1252,1712879430.239985,1920,1080,60,h264,3023147.195521,True,1237.597017288208
1253,1712879430.2693279,1920,1080,60,h264,3021261.9539124127,False,1239.357590675354
1254,1712879430.2795079,1920,1080,60,h264,3022181.814324591,True,1239.9683904647827
1255,1712879430.299018,1920,1080,60,h264,3021737.2326858295,False,1241.1389923095703
1256,1712879430.31162,1920,1080,60,h264,3022301.830746262,True,1241.8951177597046
1257,1712879430.32981,1920,1080,60,h264,3022050.388462711,False,1242.986512184143
1258,1712879430.3616168,1920,1080,60,h264,3019816.1857921537,True,1244.89492893219
1259,1712879430.3742158,1920,1080,60,h264,3020380.6984735527,False,1245.6508684158325
1260,1712879430.381969,1920,1080,60,h264,3021649.3917510705,True,1246.1160564422607
1261,1712879430.400044,1920,1080,60,h264,3021416.074962108,False,1247.2005558013916
1262,1712879430.415138,1920,1080,60,h264,3021616.106949839,True,1248.106198310852
1263,1712879430.43381,1920,1080,60,h264,3021296.55638238,False,1249.2265176773071
1264,1712879430.44942,1920,1080,60,h264,3021421.5331441737,True,1250.1631164550781
1265,1712879430.46156,1920,1080,60,h264,3022049.224742145,False,1250.8915185928345
1266,1712879430.486382,1920,1080,60,h264,3020839.6775304945,True,1252.380838394165
1267,1712879430.4992268,1920,1080,60,h264,3021364.641132017,False,1253.1515264511108
1268,1712879430.5101209,1920,1080,60,h264,3022171.056944258,True,1253.805170059204
1269,1712879430.531254,1920,1080,60,h264,3021496.9114631237,False,1255.073161125183
1270,1712879430.5413902,1920,1080,60,h264,3022411.4805521495,True,1255.6813287734985
1271,1712879430.5674949,1920,1080,60,h264,3021021.171574606,False,1257.247610092163
1272,1712879430.582293,1920,1080,60,h264,3021262.520720783,True,1258.1354999542236
1273,1712879430.6357498,1920,1080,60,h264,3015947.205976601,False,1261.3429069519043
1274,1712879430.6447492,1920,1080,60,h264,3017022.9718689313,True,1261.8828678131104
1275,1712879430.65228,1920,1080,60,h264,3018308.466964005,False,1262.3347234725952
1276,1712879430.6557271,1920,1080,60,h264,3020179.0805216306,True,1262.5415468215942
1277,1712879430.6606798,1920,1080,60,h264,3021832.8999081003,False,1262.8387069702148
1278,1712879430.6780171,1920,1080,60,h264,3021708.326709028,True,1263.8789463043213
1279,1712879430.6998851,1920,1080,60,h264,3020934.7381220884,False,1265.1910257339478
1280,1712879430.71561,1920,1080,60,h264,3021041.9547504485,True,1266.1345195770264
1281,1712879430.7309031,1920,1080,60,h264,3021210.78311038,False,1267.0521068572998
1282,1712879430.742243,1920,1080,60,h264,3021944.6680490505,True,1267.7325010299683
1283,1712879430.767049,1920,1080,60,h264,3020753.573798492,False,1269.2208623886108
1284,1712879430.774955,1920,1080,60,h264,3021976.7544051767,True,1269.6952199935913
1285,1712879430.805692,1920,1080,60,h264,3019942.061672917,False,1271.5394353866577
1286,1712879430.81829,1920,1080,60,h264,3020494.8133414825,True,1272.2953176498413
1287,1712879430.834923,1920,1080,60,h264,3020472.4967779936,False,1273.2932996749878
1288,1712879430.846844,1920,1080,60,h264,3021120.5094728856,True,1274.0085554122925
1289,1712879430.8573802,1920,1080,60,h264,3021964.7609530655,False,1274.6407270431519
1290,1712879430.881613,1920,1080,60,h264,3020861.498214035,True,1276.0946989059448
1291,1712879430.891258,1920,1080,60,h264,3021831.060308472,False,1276.6733980178833
1292,1712879430.919636,1920,1080,60,h264,3020142.019718587,True,1278.3760786056519
1293,1712879430.929975,1920,1080,60,h264,3021011.815093363,False,1278.9964199066162
1294,1712879430.947038,1920,1080,60,h264,3020928.340008617,True,1280.02019405365
1295,1712879430.958962,1920,1080,60,h264,3021572.2557851067,False,1280.7356357574463
1296,1712879430.980701,1920,1080,60,h264,3020827.2129866215,True,1282.0399761199951
1297,1712879430.9896488,1920,1080,60,h264,3021890.844852495,False,1282.576847076416
1298,1712879431.015407,1920,1080,60,h264,3020579.181534133,True,1284.1223430633545
1299,1712879431.023051,1920,1080,60,h264,3021825.219592275,False,1284.580979347229
1300,1712879431.047745,1920,1080,60,h264,3020665.6594606056,True,1286.062617301941
1301,1712879431.054935,1920,1080,60,h264,3021973.765670247,False,1286.4940166473389
1302,1712879431.086346,1920,1080,60,h264,3019870.81495921,True,1288.3786725997925
1303,1712879431.097426,1920,1080,60,h264,3020629.8033698164,False,1289.0434741973877
1304,1712879431.1132522,1920,1080,60,h264,3020721.0239657206,True,1289.9930477142334
1305,1712879431.123404,1920,1080,60,h264,3021609.002661545,False,1290.602159500122
1306,1712879431.146836,1920,1080,60,h264,3020632.1051355936,True,1292.008080482483
1307,1712879431.164607,1920,1080,60,h264,3020450.5253134067,False,1293.0743408203125
1308,1712879431.180107,1920,1080,60,h264,3020587.273360875,True,1294.0043449401855
1309,1712879431.195872,1920,1080,60,h264,3020686.751508013,False,1294.9502420425415
1310,1712879431.2127628,1920,1080,60,h264,3020628.6337800114,True,1295.9636878967285
1311,1712879431.231304,1920,1080,60,h264,3020340.0136977737,False,1297.076153755188
1312,1712879431.244663,1920,1080,60,h264,3020775.3767622155,True,1297.877697944641
1313,1712879431.256335,1920,1080,60,h264,3021445.7030405803,False,1298.5780191421509
1314,1712879431.278785,1920,1080,60,h264,3020611.887279362,True,1299.9250173568726
1315,1712879431.3020182,1920,1080,60,h264,3019670.749619821,False,1301.3190078735352
1316,1712879431.311192,1920,1080,60,h264,3020687.6411218047,True,1301.8694400787354
1317,1712879431.3343759,1920,1080,60,h264,3019754.6877955967,False,1303.2604694366455
1318,1712879431.360339,1920,1080,60,h264,3018437.920671096,True,1304.8182535171509
1319,1712879431.374184,1920,1080,60,h264,3018804.4614747716,False,1305.6489515304565
1320,1712879431.378795,1920,1080,60,h264,3020451.4149936633,True,1305.925612449646
1321,1712879431.3911412,1920,1080,60,h264,3021024.25125997,False,1306.6663885116577
1322,1712879431.412281,1920,1080,60,h264,3020377.5387294074,True,1307.9347801208496
1323,1712879431.429075,1920,1080,60,h264,3020333.638314905,False,1308.9424180984497
1324,1712879431.447488,1920,1080,60,h264,3020065.837037615,True,1310.0472021102905
1325,1712879431.464992,1920,1080,60,h264,3019924.119314007,False,1311.0974407196045
1326,1712879431.476334,1920,1080,60,h264,3020633.73363127,True,1311.7779636383057
1327,1712879431.498917,1920,1080,60,h264,3019790.7757896557,False,1313.1329441070557
1328,1712879431.507968,1920,1080,60,h264,3020815.445732113,True,1313.6759948730469
1329,1712879431.530703,1920,1080,60,h264,3019952.558058861,False,1315.0401020050049
1330,1712879431.53908,1920,1080,60,h264,3021068.542364982,True,1315.542712211609
1331,1712879431.560299,1920,1080,60,h264,3020415.252884173,False,1316.8158531188965
1332,1712879431.581442,1920,1080,60,h264,3019773.6473560478,True,1318.0844449996948
1333,1712879431.595207,1920,1080,60,h264,3020146.6663664854,False,1318.9103364944458
1334,1712879431.617283,1920,1080,60,h264,3019378.3144568778,True,1320.2349042892456
1335,1712879431.628536,1920,1080,60,h264,3020095.533507687,False,1320.9100770950317
1336,1712879431.650679,1920,1080,60,h264,3019319.2158134165,True,1322.2386646270752
1337,1712879431.6633978,1920,1080,60,h264,3019834.618862225,False,1323.0017852783203
