Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Продолжительность видео
415,0.045475006103515625,854,480,25.0,h264,1200.9375,16.6
416,0.04542803764343262,854,480,25.0,h264,1200.9375,16.64
417,0.0946509838104248,854,480,25.0,h264,2401.875,16.68
418,0.058702945709228516,854,480,25.0,h264,2401.875,16.72
419,0.04079604148864746,854,480,25.0,h264,1200.9375,16.76
420,0.040068864822387695,854,480,25.0,h264,1200.9375,16.8
421,0.04000592231750488,854,480,25.0,h264,1476.5849609375,16.84
422,0.0818471908569336,854,480,25.0,h264,2126.2275390625,16.88
423,0.07100605964660645,854,480,25.0,h264,2401.875,16.92
424,0.04558086395263672,854,480,25.0,h264,1200.9375,16.96
425,0.07976126670837402,854,480,25.0,h264,2401.875,17.0
426,0.048919677734375,854,480,25.0,h264,1200.9375,17.04
427,0.07169604301452637,854,480,25.0,h264,2401.875,17.08
428,0.08621811866760254,854,480,25.0,h264,2401.875,17.12
429,0.0742640495300293,854,480,25.0,h264,2401.875,17.16
430,0.0807650089263916,854,480,25.0,h264,2401.875,17.2
431,0.08063292503356934,854,480,25.0,h264,2401.875,17.24
432,0.07730317115783691,854,480,25.0,h264,2401.875,17.28
433,0.044484853744506836,854,480,25.0,h264,1200.9375,17.32
